PC1,cluster
-0.8757947004975857,0
0.238270706888427,2
-0.0627572563543584,5
-0.184098929852927,5
0.2702279946060221,2
-0.5582334788707473,3
-0.5299755839214303,3
-0.3349149097801127,5
0.1404656027111529,2
-0.5590192631558524,3
-0.5143384341773818,3
-0.3416652446847946,5
0.1298798314350403,2
0.0332670390984538,2
-0.3018525010834917,5
-0.9582091826299124,0
-0.8864705891911786,0
0.2780106085905348,2
-0.0977052878204577,5
-0.1312656755809363,5
0.2514290190088993,2
-0.1461224767728306,5
0.2548240911627435,2
-0.5520656924462307,3
-0.5290376067314433,3
-0.3099166924442217,5
0.102998875771142,2
0.0662558976009055,2
-0.3140781507802773,5
-0.9594401185632476,0
-0.8960999600061264,0
0.2594838760516706,2
-0.1516551162408273,5
0.1841626737153153,2
-0.1660846813903667,5
-0.15129813915504,5
0.2133904741715738,2
-0.9587441432439108,0
-0.8959393426015588,0
-0.5217298555140841,3
-0.5285209368776116,3
-0.3230109887609409,5
0.0333820073770942,2
0.0500402606909766,2
-0.3641955539085448,5
-0.9548538216113668,0
-0.8987416804217194,0
0.2970962805282088,2
-0.1598474859230468,5
-0.1369505192933343,5
0.2004980789797356,2
-0.5530379185096396,3
-0.5510080245737313,3
-0.3276116787880422,5
0.0534156666237128,2
0.0543490367885969,2
-0.3369936509371649,5
-0.5487862888118342,3
-0.562474507399418,3
-0.3076824595013638,5
0.0479916154269207,2
0.0569499210279165,2
-0.3444977187549717,5
-0.9573297051617944,0
-0.8930305576635348,0
0.2791301888038302,2
