"","cluster","V1","V2","V6","V8","V9","V10","V14","V16","V17","V18","V19","V20","V22","V24","V33","V34","V35","V36","V37","V40","V45","V48","V66","V88","V97","V99","V100","V104"
"45",43,-0.0402898429404804,0.00215221675178491,0.0448258005470085,0.0339076599355139,-0.118054859400719,-0.0408134569699611,0.135062280866954,0.082168899425385,-0.0132439883488131,-0.16244169798195,-0.041285123065709,-0.0997877793780105,0.0788642529343836,0.20958619536675,-0.00601354306529167,-0.111124311479614,-0.0947250200510159,-0.240786165654042,-0.439065922922426,0.482305525400305,-0.437140025076262,0.511586941889932,0.0139693674711595,0.212383160025324,-0.00639921702789091,-0.102861576920422,-0.214569502181948,0.266816555165216
"46",44,-0.0653986511789326,-0.0515033105787531,0.0666604410752754,0.0386446655155076,-0.143597284438951,-0.0947945416856396,0.157857263537238,0.0877477181855579,0.46339235022715,0.345645035559782,0.597164902791903,0.646466748142795,-0.511539766166811,-0.119208482271101,0.0357451936610742,0.00162097768995069,0.111293469453912,0.297334521073943,0.143283433747033,0.431563116523081,0.108547259274246,0.460451893920266,-0.121068815776993,-0.249322389621997,0.160849195437265,0.215104671798278,0.344214850850125,0.0660333815677391
"47",45,-0.0739837967603889,-0.0827683363995193,0.0752328142501396,0.0400864603466804,-0.153496421018215,-0.141088033310361,0.168212076833523,0.0896405585805166,0.310574764516244,0.235067166279579,0.445131348477503,0.488130097778171,-0.346425501432665,-0.00475181518854362,-0.0255305513605725,-0.0480111187367673,0.052001247497135,0.234235226199211,0.0811799718668785,0.477773031938322,0.0620376428097768,0.505653155843874,-0.14106885282407,-0.118550178150871,0.0540192372745653,0.123211992893739,0.279085471623883,0.161457528551606
"48",46,0.395241153424478,-0.0426189318621004,-0.35811488253991,-0.191710623673357,0.269870597111549,-0.122961323352336,-0.230881629764069,-0.156781725005721,-0.150543318720988,-0.164254659603448,-0.217264041949551,-0.217476723249884,0.148432271667024,0.270121916753221,-0.0320895110150564,-0.167152001933546,-0.226169847323927,-0.332925636533116,-0.498809101350266,0.459544783226758,-0.518346161558352,0.524065244375005,-0.0676377289824944,0.183033857368024,-0.133627881200025,-0.304048390440219,-0.309968673932519,0.310141343905598
"49",47,0.255358757958439,-0.0708155870807187,-0.219109550772598,-0.102156996562463,0.142906506302092,-0.153159505356822,-0.101766022857094,-0.0635732088862976,-0.256408304919467,-0.204980806248373,-0.266081007556894,-0.246867241494546,0.230364121412653,0.325209478672269,-0.145652538949515,-0.217809771943426,-0.287504297200502,-0.376363655239664,-0.54059156665591,0.527288750730717,-0.550511543376875,0.572731224281032,-0.102885097392528,0.266377565631962,-0.249039987493218,-0.36026672489647,-0.341548773265381,0.376598864135803
"50",48,0.877789589420011,0.0351001237859526,-0.879402760132049,-0.601007904197625,0.665226821685277,-0.0480635253172498,-0.659856827330562,-0.521009949983856,0.00102395679871106,-0.0283016303861491,-0.113775727730922,-0.156535300780546,-0.0134931582948366,0.174840119304986,0.22996188441202,-0.00751308675651102,0.00234837336772173,-0.149947665836079,-0.352430518581727,0.298426048624727,-0.374634296239195,0.355646199794556,0.0220781257270985,0.0488894302886115,0.117383683391786,-0.0928952036463625,-0.183446696718348,0.127435145862581
"51",49,0.69533872043351,0.00475631077334944,-0.678395669611789,-0.445873828714698,0.512540538133305,-0.0762099279604418,-0.493829016991861,-0.381774249614635,0.00454789476967804,-0.0938750635782743,-0.122254073496612,-0.154632757408074,0.0066274331102411,0.171993807956395,0.174211265276388,-0.0974118179480003,-0.0435886530513371,-0.175330295191734,-0.361892740584881,0.3341956638771,-0.388507076154508,0.389108682334278,-0.0105271957778668,0.0460247258420489,0.0630734456543196,-0.138540416934466,-0.200848693921597,0.168836194602299
"52",50,0.66578028841113,-0.0103406736611788,-0.63931405385664,-0.407164369516528,0.485854929854098,-0.0932068208639517,-0.456189280332281,-0.346031826377948,-0.0990632350272697,-0.112214740821214,-0.183047269769962,-0.197606786359783,0.092722944239778,0.238830759710226,0.108124884384888,-0.102841991397883,-0.116142275808054,-0.259689784427355,-0.439184225762745,0.384661913405265,-0.454840344619976,0.434642535829237,-0.0290143912188912,0.146319806940586,-0.00688356160074003,-0.205251581821169,-0.262506837104463,0.225551827224723
"53",51,-0.0588697504424879,-0.12008578108882,0.0617824025443543,0.0368379617844029,-0.144821624183314,-0.20018173740722,0.161593934281668,0.0875667890112209,-0.133596870480821,0.17332570155501,-0.11843363252749,-0.114396636991795,0.106874432449106,0.291100224690334,-0.16836053483875,0.0133325832831509,-0.20523515191683,-0.247668072037303,-0.45283565984072,0.577523852743862,-0.438781475149706,0.612572991043104,-0.133044975953412,0.242763499204306,-0.277136283980973,-0.287952294121829,-0.245837102784301,0.45110569654621
"54",52,-0.0198058818316577,-0.0842023229789673,0.0276471443143365,0.0327395783903356,-0.106527946064507,-0.154323996649728,0.128346594755969,0.083159105562598,0.420601126998454,1.33661214165989,0.433601956409419,0.407629820160325,-0.527347578764075,-0.0453840163003019,0.273159071854642,0.790898683604512,0.193922942470791,0.205280647773871,-0.0197677865192438,0.31498072163607,0.121159316780221,0.24732529231164,-0.0101177972625265,-0.107362362252954,0.162750465515103,0.0982914690625228,0.109245798804611,0.134361335918675
"55",53,0.193168239952457,0.5925071417927,-0.209879892192222,-0.0662343711209632,0.0703438162539491,0.570028671291023,-0.0713636692855661,-1.04610746819256e-05,-0.111634504109525,0.0872923396855824,-0.0852505107365005,0.0636142335464143,0.0582604530242943,0.153362342216359,0.15580555547897,0.29449023523721,0.206679549545122,0.423787951825713,0.453275548621357,0.0927774698287935,0.360757250893472,0.162030070470916,0.554393341218281,0.0398569855797098,0.0447002947122183,0.126638751172013,0.260755168295632,-0.157979389517605
"56",54,0.00839943101040447,0.3369391578716,-0.010656395730578,-0.00247194606947839,0.093696152951698,0.407948282616221,-0.156591263274855,-0.0591384205795426,0.0649540331079989,0.0427342519437547,0.13537146674374,0.271852475618713,-0.153618358216458,-0.237922942055232,0.174160026446991,0.15919946426644,0.216545637997363,0.258741213691355,0.31030051224841,-0.334503999004711,0.383332125818745,-0.294322215711264,0.344899094550969,-0.160799018191032,0.27334339531852,0.387250097142555,0.473760014197437,-0.244839693546435
"57",55,0.272602141448912,0.371776422566684,-0.363777107697973,-0.156579084123008,0.100703317559641,0.209206878283586,-0.170663534403907,-0.0783907876094783,0.0755321162814908,0.0186454193954406,0.128881585565518,0.275723774432171,-0.156129665463476,-0.274125357945627,0.0911828002825486,0.105993836939543,0.122689735077011,0.171316506849709,0.234013880398113,-0.276153963945828,0.267458478905736,-0.228168994139449,0.329166232038544,-0.192845106099072,0.220609394506528,0.356097250901859,0.46876704062316,-0.191780503137129
"58",56,0.126439047053555,0.358603319813731,-0.178760457087493,-0.0611664670115036,0.000779388142376304,0.241620810248019,-0.0215767574968018,-0.0042088999724702,0.0316699114261868,0.0178594058067699,0.162044082150398,0.358128825461064,-0.0618827449174512,-0.174446143135213,-0.0614255903260967,-0.0578130167630533,0.0429001808567533,0.244060409618748,0.313850816858812,-0.086775897109156,0.523334028344423,-0.183950125729816,0.297858353580502,-0.0846971785235372,0.134254526648756,0.447233439200257,0.704085825267684,-0.103822157366358
"59",57,-0.0481170592051464,-0.0226882380162674,0.043775170339097,0.0114853397749616,-0.0999764556415005,-0.0583794407597434,0.111054919453347,0.047343876308757,-0.255051591951975,-0.150640745892836,-0.0817232240051472,0.0599256355513567,0.192045749850402,0.134937592406337,-0.211437203041315,-0.155710055141502,-0.0746390513254391,0.0738194099793667,0.138607681271001,0.0258439920342147,0.175776925958376,0.0271052613091632,-0.0370361736794494,0.18477741732914,-0.203635791828587,0.0798446919309946,0.270401201481051,0.111831744987938
"60",58,0.148421321225473,0.290412154400708,-0.200986803065065,-0.0755540495413151,0.0100318232231911,0.243722444730284,-0.0347024103864629,-0.00977794976026422,-0.0134163270296968,0.0395039196865865,0.0809500421034949,0.248746988969721,-0.0262847039484371,-0.112556518919063,-0.0380216783488615,0.000519134365125391,0.0287117173825271,0.205783222964468,0.263850557662915,-0.132829473061249,0.330536699958258,-0.148368715019225,0.248879576049692,-0.0562740264675103,0.0634125333554533,0.296845949782426,0.510834412342943,-0.0636614862793002
"61",59,0.191919027302777,0.34276609919118,-0.21711927232055,-0.103298278808219,0.107006820070417,0.378003363423448,-0.11924680490222,-0.0700168500771584,0.389778287680962,0.438459611060467,0.539094789673496,0.671640389117869,-0.364695249895823,-0.530157918864256,-0.00765951281113512,0.0445857090226686,-0.0335032508640818,0.0684970628947547,0.116298573225946,-0.12175587456497,0.17880363736054,-0.155227352137104,0.143402038264085,-0.374930687331339,0.140043866655641,0.206603014251372,0.307114628881204,-0.0650348826864791
"62",60,-0.0401775047300735,-0.051483184380498,0.0512736458785705,0.0242422847961359,-0.118042553535896,-0.0975188048318046,0.138644651688967,0.0689321406892273,0.0947443319588665,-0.0794904876331703,0.0778268118381387,0.000249525365330851,0.0231501454256945,-0.00285044809636261,0.0113871587404016,0.00968032766263626,0.0339098633675343,-0.0166484720255954,-0.0949234432660453,0.164930408502276,-0.0595711324106773,0.159560084959261,-0.0793427375211843,0.160876265516293,0.177759503658118,0.176765933139193,0.0431554097197582,0.0746663145441322
"63",61,-0.0920157947993335,-0.14199505215951,0.0797562076890748,0.0324571848825594,-0.125168750742932,-0.130231228001606,0.11902081336327,0.0564126938708799,0.221377843078873,0.266200433111793,0.214964675366061,0.114542782379173,-0.0392756799472415,-0.262284972005506,0.0747432438550338,0.126292396869386,0.0806575914059266,0.0189322151949206,0.0457871309539878,-0.129645036934921,0.0641644858825594,-0.196841521761931,-0.16891016046336,0.024193552905625,0.185476893694578,0.202901354613575,0.0740667667402522,-0.0837903693286694
"64",62,-0.0523106808397773,-0.0421491201407211,0.0554977275439292,0.0190428342430599,0.421647591552734,0.0668249291153512,-0.466955289509023,-0.449868820919052,0.269109745917826,0.0370864829300873,0.172185433263259,0.126573827715036,-0.283364390268668,-0.474696365901802,0.20142322050675,0.0397130435520406,0.164972644925085,0.157597851069466,0.213810224272683,-0.364976878937004,0.201310025983048,-0.319182685375928,0.109457476890798,-0.510009603267834,0.235637844454521,0.170189819347525,0.191122545816853,-0.190782511683698
"65",63,-0.00103783724883484,0.0342805360282942,0.0163568780226237,-0.00182637913622756,-0.0927879178422259,0.0557281039700339,0.115195270407236,0.0456905863685866,-0.305869061783533,-0.165287111671548,-0.107591910745986,0.0240818727442809,0.249325092926812,0.179505418498389,-0.172106736549156,-0.13577635496611,0.180170261082027,0.399037661983967,0.468686284394757,-0.111449758050719,0.330362561438168,-0.1059986964567,-0.00426351546105431,0.23007008695988,-0.28334260542022,0.0615678044436047,0.186535060375226,0.17014474991491
"66",64,0.264197760375839,0.0872686028932509,-0.211604207515872,-0.164055961397053,0.162810658568911,0.0244823703919134,-0.104368440426152,-0.128830848586657,-0.0692355345791512,-0.0215030361095676,-0.165946711034971,-0.176683706954732,0.0854975110524493,-0.048208491581987,0.10464001049842,-0.0102876369411974,-0.108360166968101,-0.211219115120562,-0.0725456093748058,-0.316725091226405,-0.11357323810344,-0.244007015414048,0.0835831892740617,0.0207416487999659,-0.0422048884450497,-0.220811779548216,-0.25316849341681,0.0767180731567654
"67",65,-0.0459902548272775,-0.0371196061175613,0.0434288465385969,0.00880660174554409,-0.0697652899149992,-0.0112147185053534,0.0756734685266609,0.0308165747617565,0.546120483447555,0.559609515389091,0.963977424703136,1.32479011441284,-0.572563731598975,-0.717089659497968,-0.0103799882442658,0.0368862975989604,0.0815684671023957,0.212753922532461,0.264689384324,-0.0703848492202055,0.318801910136173,-0.121236094875703,-0.0799007585440368,-0.555525239348874,0.174603133436666,0.421027461001021,0.470076039912258,-0.142597542875567
"68",66,0.0150493690714173,0.148878821403112,-0.00298326378853105,-0.00433394707148891,0.0968750308509388,0.286028251191249,-0.106822188466341,-0.0579899370506161,0.32151406273903,0.501083004215227,0.432830836686483,0.525199979881996,-0.30806409206839,-0.415173843534924,0.0502673978354381,0.135903164231437,0.0038473448610228,0.0957069270206732,0.136327770562306,-0.100800376335284,0.189570978424737,-0.0954981476514799,0.0767306918814572,-0.352358596731184,0.125556289529272,0.139805456843897,0.200491110246836,-0.0251926485336517
"69",67,0.0625955214539849,0.2387519984953,-0.0586219348499032,-0.00420979664854074,-0.0329740139249889,0.218283989172695,0.0477033048097964,0.046943620064887,-0.25676195461116,-0.0846258535616824,-0.161569632982315,-0.0110800214284872,0.192951407649975,0.253124583583369,-0.0765293658043816,0.0456599726998626,0.062051502855269,0.292826606962549,0.329679516124604,0.219463629370104,0.229288834326228,0.301540790350166,0.210918651766652,0.193650841492514,-0.17657516366849,-0.00877041377229891,0.15962154337623,0.0555469257921834
"70",68,-0.0441738620143996,-0.0559953437388102,0.047553619261758,0.0261050479079243,-0.0921530257484323,-0.000941182202438043,0.108547679085069,0.0652539620778484,-0.019375149187774,0.266044778982357,0.0110546906576317,0.00798733920387588,-0.000895444878870465,0.104682213591804,0.0219690846554995,0.161881866390421,-0.0241632316488063,-0.106937868911743,-0.117211208856464,0.182023530657578,-0.16769579126161,0.246968918218973,-0.0778918075468221,-0.0163700185658315,-0.153414334685591,-0.185889419958876,-0.194762394972861,0.0114846920576984
"71",69,-0.0159149326356265,0.000982299951452683,0.0227834770132875,0.01845824266375,-0.0574541429200468,0.101207110439087,0.0745121402548029,0.0539643238595256,0.203466166798419,0.58923780931373,0.251743295164888,0.271903231686307,-0.224822015675347,-0.0932582364945024,0.227239818966189,0.396567086081521,0.206571537544882,0.160201169339673,0.136072388331178,0.0277016140127524,0.0508307594937088,0.108856616125501,-0.0140454381112492,-0.293238726095211,0.0234815572869177,-0.0032800512480503,-0.0420770792610227,-0.140522726046234
"72",70,0.267229294532138,0.370349102643943,-0.25462105060027,-0.134725261238037,0.180160849827589,0.375935654002831,-0.157135077258053,-0.110677652141796,-0.082136776477441,0.0632799943415049,-0.0752978681536923,-0.0768801848010685,0.0644340544665281,-0.0524147830804674,-0.0289454545914714,0.0532139474836247,-0.074103055452167,-0.0909641540173143,-0.0559155003827521,-0.11670069071732,-0.0401997610897027,-0.144575980838023,0.151738925009961,0.00733460161392738,0.0423825065330609,0.0299296418108832,0.00910365354413863,0.00198555125697655
"73",71,0.175981730082946,0.244426114106934,-0.199140769792732,-0.0839449953535846,0.0969828043841333,0.227638080936645,-0.109728640461063,-0.0592429275518529,-0.176326492294794,-0.0689476968578351,-0.158356811023452,-0.140775905514786,0.15362563510179,0.0623533800715231,-0.125093899519446,-0.0563738784864845,-0.158318384696625,-0.162076957108871,-0.104906016613562,-0.0395509666093352,-0.0682221898545418,-0.0817194295569883,0.0577364239245817,0.10544218919302,-0.0787805308583277,-0.0863461650168116,-0.0782178596013243,0.0755406748981231
"74",72,-0.0254590663830977,-0.057233733659968,0.0283197458392689,0.0060181809857627,-0.0871018349758331,-0.0619673908629505,0.0958604151226477,0.0412626095244127,-0.272987535365543,-0.222804716016216,-0.149229998132065,-0.0839047247119378,0.167101998443851,0.0688538776423052,-0.0919615505224207,-0.132834020000029,0.0291945085125161,0.0967572292382566,0.178800016850724,-0.192127250585095,0.148421881360774,-0.14760558617126,-0.0867364606921921,0.134947029137888,-0.208816484971746,-0.0916047572621371,-0.0441106248626362,0.121194105502721
"75",73,-0.0611411763053507,-0.0774904458450544,0.0650790162561964,0.0311142028744763,-0.121162909800135,-0.0621430926233397,0.139801859404911,0.0736390166518136,-0.163972953687876,0.0967377127463448,-0.148488656003399,-0.14515862196931,0.14595777239581,0.221136353918567,-0.120132512953255,0.0127412032406113,-0.186849351710575,-0.267239115564252,-0.224692419130963,0.279840477971493,-0.267253793855372,0.332900258518632,-0.108710603714937,0.143218889371698,-0.274139129815418,-0.310562239497091,-0.286218449054474,0.11585329008238
"76",74,-0.0825398239880505,-0.121043171082495,0.0732047907781031,0.0326236710666846,-0.146749471915774,-0.140505191205511,0.143614945078545,0.075478619026321,-0.137710504857956,0.149072571697185,-0.166881699016895,-0.178593600014183,0.181418085118479,0.224434631101576,-0.00923275791850991,0.192711461745091,-0.0851368811950315,-0.20332556089321,-0.190053228768834,0.215937624909089,-0.210960082173914,0.271975412024566,-0.17343845343779,0.181287682242214,-0.15240144098903,-0.204203198978144,-0.242140116832157,0.0207328963287525
"77",75,-0.0190654044428514,0.323382507552196,0.0301152213055467,0.0113716825674168,0.10724420213314,0.506535840051097,-0.0882159196314671,-0.060288358613187,-0.148273318074761,-0.183863936041259,-0.00803648211217147,0.0297968173281278,0.0224581733361921,-0.0914364280800996,-0.0263307507295417,-0.0372711272244179,-0.0512721327291091,-0.0755271504988883,-0.0173533679099877,-0.147687134825329,0.0198713755537782,-0.173221484887488,0.223174531819967,-0.0525094593539373,0.0421106832814709,0.0477770111026787,0.0429043879416414,-0.0566808645278158
"78",76,0.020407127266986,0.162490086098522,-0.00994066391575288,0.00466589487495201,-0.036916043333193,0.238508722234443,0.0583009975269144,0.0424728383534993,-0.305364807157975,-0.162089422435199,-0.238903312112197,-0.183716148001981,0.242860999302618,0.278874678304868,-0.109061703772599,-0.00714367050118348,-0.10255564192819,-0.0942842290436084,-0.086248377842532,0.230309804131925,-0.138863634316179,0.29218838842764,0.142581766308694,0.216288622194677,-0.237443435867312,-0.209953354381928,-0.162871491902584,0.0495464373972911
